,sno,state,2016,2017,2018,2019
,1,Andhra Pradesh,7851,7564,6998,7389
,2,Arunachal Pradesh,103,103,134,108
,3,Assam,2445,2474,2829,3019
,4,Bihar,4425,5045,6244,6731
,5,Chhattisgarh,3527,3878,4217,4603
,6,Goa,316,306,248,283
,7,Gujarat,7296,6739,7176,6726
,8,Haryana,4636,4700,4806,4684
,9,Himachal Pradesh,1000,907,926,930
,10,Jammu & Kashmir,734,765,809,762
,11,Jharkhand,2681,3034,3261,3414
,12,Karnataka,10215,9739,10093,10060
,13,Kerala,4064,3915,4069,4183
,14,Madhya Pradesh,8774,9258,9721,10182
,15,Maharashtra,11780,11220,12098,11787
,16,Manipur,78,107,122,146
,17,Meghalaya,146,140,165,169
,18,Mizoram,61,55,39,46
,19,Nagaland,41,35,35,24
,20,Odisha,4036,4372,4861,4844
,21,Punjab,4584,4139,4479,4190
,22,Rajasthan,9282,9300,9295,9471
,23,Sikkim,60,60,51,61
,24,Tamil Nadu,16092,15061,11375,9813
,25,Telangana,6617,6110,6051,6472
,26,Tripura,165,153,194,224
,27,Uttarakhand,801,727,797,750
,28,Uttar Pradesh,16164,17706,19364,19731
,29,West Bengal,6081,5199,5185,5120
,30,Andaman & Nicobar Islands,16,20,18,20
,31,Chandigarh,144,103,97,100
,32,Dadra & Nagar Haveli,40,40,52,48
,33,Daman & Diu,32,36,34,23
,34,Delhi,1548,1565,1657,1433
,35,Lakshadweep,1,0,1,0
,36,Puducherry,235,221,225,143
,Total,,"1,36,071","1,34,796","1,37,726","1,37,689"
